================ Training Loss (Tue Feb  8 03:37:46 2022) ================
   Avg Run Time (ms/batch): 6371.933 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6335.261 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6407.246 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6383.335 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6428.372 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6445.177 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6382.422 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6383.424 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6391.087 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6389.542 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6416.521 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6469.113 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6330.037 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6400.204 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6381.853 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6393.126 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6381.950 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6341.684 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6430.179 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6366.420 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6359.703 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6356.374 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6354.118 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6410.975 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6417.120 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6347.450 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6355.471 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6410.261 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6338.908 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6396.776 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6325.107 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6268.620 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6204.033 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6233.723 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6201.592 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6284.106 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6155.191 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6263.144 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6214.466 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6218.355 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6209.967 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6193.413 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6182.417 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 5977.724 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6099.552 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6315.773 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6398.984 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6357.474 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6360.213 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6277.233 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6390.214 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6416.566 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6372.176 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6338.169 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6355.459 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6366.888 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6373.880 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6403.316 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6412.192 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6378.288 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6454.429 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6420.619 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6367.275 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6349.168 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6350.477 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6359.637 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6360.420 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6410.961 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6429.167 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6366.660 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6442.409 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6405.089 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6405.222 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6396.053 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6365.114 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6428.847 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6395.987 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6360.304 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6346.200 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6405.848 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6345.989 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6415.103 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6353.278 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6377.195 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6400.208 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6371.047 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6342.894 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6343.927 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6367.231 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6437.459 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6329.376 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6285.295 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6344.838 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6351.617 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6401.952 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6471.006 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6362.873 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6448.658 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6399.498 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6346.785 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6406.557 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6386.897 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6390.897 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6425.286 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6433.039 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6409.796 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6411.710 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6377.802 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6409.713 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6388.299 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6374.472 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6404.781 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6372.008 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6385.942 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6379.638 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6296.542 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6151.771 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6293.167 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6173.230 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6332.462 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6180.811 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6280.469 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6282.216 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6279.881 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6214.041 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6365.984 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6266.385 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6225.389 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6057.806 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6206.168 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6446.399 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6377.148 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6386.719 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6377.821 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6369.370 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6421.809 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6412.731 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6407.629 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6440.479 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6396.208 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6364.108 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6404.374 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6327.870 roc: 0.444 max roc: 0.444
